SampleGeneratedData,,,,,,,,,,,,,,,,,
SerialNumber,Test Pass/Fail Status,errCode,TesterID,timeStamp,SOCKET,Vf_LED0_10mA_V,Vf_LED0_20mA_V,Vf_LED1_20mA_V,Vf_LED2_20mA_V,LED0_Ir_20mA_nA,Vj_LED0_20mA_V,NearFieldTest_LED0_5mA_nA,NearFieldTest_LED0_20mA_nA,NearFieldTest_LED1_20mA_nA,NearFieldTest_LED2_Near_20mA_nA,FarFieldTest_LED1_20mA_nA,FarFieldTest_LED2_20mA_nA
21N0K5PW629GRA34P,PASS,0,A1_golden,660869462.7,A1,0.5772,0.9084,1.2091,0.4398,-0.0241,0.7798,60.4462,144.8048,278.8247,172.9381,194.8085,107.1967
21N0K5PW629GRA34P,PASS,0,A1_golden,660869520.8,A1,0.5771,0.9084,1.2096,0.4397,-0.0371,0.7789,60.4904,145.1248,278.6464,173.1817,194.8456,107.2922
21N0K5PW629GRA34P,PASS,0,A1_golden,660869579.2,A1,0.577,0.9083,1.2092,0.4397,-0.0229,0.7782,60.0776,144.7264,278.8502,173.1322,194.9693,107.3559
2PW64ZGN590FK31A2,PASS,0,A1_golden,660869651.9,A1,0.5776,0.907,1.2115,0.4405,-0.0307,0.7789,59.6575,142.8656,277.78,169.9034,194.759,107.2094
2PW64ZGN590FK31A2,PASS,0,A1_golden,660869710.2,A1,0.5774,0.9068,1.2092,0.4404,-0.0337,0.7784,59.2528,142.7831,277.8309,169.7425,194.6971,107.2922
2PW64ZGN590FK31A2,PASS,0,A1_golden,660869768.7,A1,0.5774,0.907,1.2115,0.4404,-0.038,0.7775,59.8793,143.1665,277.8819,170.5512,195.0064,107.1457
N19K322AKG4P65V0W,PASS,0,A1_golden,660869841.7,A1,0.5772,0.9073,1.2101,0.4399,-0.0283,0.7786,59.6723,142.735,275.9453,170.1628,194.0043,106.7571
N19K322AKG4P65V0W,PASS,0,A1_golden,660869900.8,A1,0.5771,0.907,1.2098,0.4399,-0.0283,0.7776,59.4743,142.903,275.8179,169.6997,193.9177,106.5087
N19K322AKG4P65V0W,PASS,0,A1_golden,660869959,A1,0.577,0.9071,1.2103,0.4398,-0.0286,0.7773,59.6156,142.7577,275.6905,170.6383,193.7445,106.2475
N236N615G3429PK09,PASS,0,A1_golden,660870033.6,A1,0.5766,0.9129,1.2076,0.4391,-0.0254,0.777,59.8852,144.108,277.6016,171.328,194.561,106.6424
N236N615G3429PK09,PASS,0,A1_golden,660870092.1,A1,0.5765,0.9129,1.2124,0.439,-0.0284,0.7794,59.5868,144.1972,277.6271,171.3134,194.227,106.8463
N236N615G3429PK09,PASS,0,A1_golden,660870150,A1,0.5764,0.9126,1.2106,0.439,-0.0357,0.7791,59.5315,144.1833,277.8309,171.221,194.4002,106.6807
KM4WN0T1GA2259P63,PASS,0,A1_golden,660870223.1,A1,0.5771,0.9077,1.2086,0.4399,-0.0363,0.7775,59.4259,142.6637,273.3971,170.4405,191.3322,105.2473
KM4WN0T1GA2259P63,PASS,0,A1_golden,660870281.8,A1,0.577,0.9074,1.2088,0.4398,-0.0307,0.7786,59.8943,142.807,273.3716,170.5779,191.6786,105.0753
KM4WN0T1GA2259P63,PASS,0,A1_golden,660870339.9,A1,0.5769,0.9073,1.208,0.4398,-0.036,0.7764,59.7354,142.8352,273.3206,170.7472,191.3322,105.362
PNB39405A2G062K1X,PASS,0,A1_golden,660870413,A1,0.576,0.9064,1.2076,0.4386,-0.0324,0.7772,60.4554,145.431,285.1953,172.7959,199.3363,109.6111
PNB39405A2G062K1X,PASS,0,A1_golden,660870471,A1,0.5759,0.9062,1.2111,0.4385,-0.0217,0.778,60.1717,145.7567,285.2462,173.0216,199.0889,109.7321
PNB39405A2G062K1X,PASS,0,A1_golden,660870528.8,A1,0.5758,0.9062,1.2073,0.4385,-0.0326,0.7799,59.8548,145.6851,285.2717,172.607,199.0641,109.541
46JW359W12A2GP0KN,PASS,0,A1_golden,660870601.7,A1,0.5771,0.9071,1.2094,0.44,-0.0223,0.7783,59.9619,143.3494,277.1429,172.0689,194.6353,107.0693
46JW359W12A2GP0KN,PASS,0,A1_golden,660870659.9,A1,0.577,0.907,1.2094,0.44,-0.0199,0.7787,59.8692,143.1425,277.1174,171.9346,194.1157,107.1457
46JW359W12A2GP0KN,PASS,0,A1_golden,660870717.3,A1,0.577,0.907,1.2076,0.4399,-0.0295,0.7776,59.9819,143.5333,277.2703,172.0313,194.3878,107.082
XC0394N49625PK12G,PASS,0,A1_golden,660870791.5,A1,0.5769,0.9224,1.21,0.4391,-0.0287,0.7778,60.3513,143.6741,279.8185,170.8609,196.8868,107.8337
XC0394N49625PK12G,PASS,0,A1_golden,660870849.6,A1,0.5768,0.9224,1.2074,0.4391,-0.0262,0.7792,60.2066,143.2375,279.7166,170.5262,196.8497,107.5662
XC0394N49625PK12G,PASS,0,A1_golden,660870907.4,A1,0.5767,0.9221,1.2085,0.439,-0.0379,0.7775,59.9879,143.4767,279.844,171.0653,197.1466,107.7509
0WP2439AN25S1KN6G,PASS,0,A1_golden,660870980.4,A1,0.5772,0.9077,1.2083,0.4399,-0.0343,0.7778,60.5582,145.9317,283.488,173.3494,198.0373,109.1715
0WP2439AN25S1KN6G,PASS,0,A1_golden,660871039,A1,0.5771,0.9076,1.2077,0.4398,-0.0353,0.7764,60.2533,145.7064,283.9466,174.0906,197.7157,109.2735
0WP2439AN25S1KN6G,PASS,0,A1_golden,660871097,A1,0.577,0.9074,1.2086,0.4398,-0.0429,0.7783,60.2437,145.7014,283.9976,173.7504,197.8641,109.248
NP92EU1405139K6G2,PASS,0,A1_golden,660871168.9,A1,0.5765,0.9211,1.2073,0.4389,-0.0249,0.7772,61.4587,146.3817,283.6409,175.3852,198.4332,108.9549
NP92EU1405139K6G2,PASS,0,A1_golden,660871227.1,A1,0.5764,0.9207,1.2105,0.4389,-0.0292,0.7764,61.3255,146.4644,283.8192,175.0524,198.3219,109.0505
NP92EU1405139K6G2,PASS,0,A1_golden,660871285.3,A1,0.5764,0.9206,1.2078,0.4389,-0.0211,0.7776,61.0141,146.5346,283.5899,175.3088,198.0621,109.0887
4562X29K39ANG1P02,PASS,0,A1_golden,660871357.8,A1,0.5761,0.9051,1.2252,0.4384,-0.0304,0.7783,59.4973,141.4583,289.5017,169.6077,202.8744,111.535
4562X29K39ANG1P02,PASS,0,A1_golden,660871416,A1,0.576,0.9049,1.2206,0.4384,-0.0355,0.777,59.2241,141.7024,289.8585,169.9634,202.825,111.7707
4562X29K39ANG1P02,PASS,0,A1_golden,660871474,A1,0.576,0.9047,1.221,0.4384,-0.0293,0.7773,59.1986,141.9249,289.6546,169.1843,203.06,111.5796
03X5961G2NDA4K2YP,PASS,0,A1_golden,660871547.5,A1,0.576,0.9059,1.2185,0.4384,-0.0494,0.7748,59.2737,140.3461,283.8447,167.539,200.1404,109.541
03X5961G2NDA4K2YP,PASS,0,A1_golden,660871605.2,A1,0.5759,0.9058,1.2195,0.4383,-0.0286,0.7789,58.7706,140.7206,283.9212,167.8095,199.9672,109.764
03X5961G2NDA4K2YP,PASS,0,A1_golden,660871663.8,A1,0.5759,0.9057,1.2191,0.4383,-0.0417,0.7773,58.9261,140.54,283.7683,167.2604,200.2146,109.6366
9GU3K1NA5H2P4026X,PASS,0,A1_golden,660871737,A1,0.5762,0.9053,1.2179,0.4385,-0.0359,0.7776,59.134,141.479,282.9274,168.9384,199.4105,109.4264
9GU3K1NA5H2P4026X,PASS,0,A1_golden,660871795,A1,0.576,0.9051,1.2197,0.4385,-0.0349,0.7787,58.675,141.0327,283.0293,168.5469,199.1631,109.4072
9GU3K1NA5H2P4026X,PASS,0,A1_golden,660871852.8,A1,0.576,0.9052,1.219,0.4385,-0.0283,0.7786,58.8308,141.0034,282.5196,168.1589,199.3239,109.4582
3G9267X04PN2A41K5,PASS,0,A1_golden,660871927.9,A1,0.5762,0.9053,1.2124,0.4386,-0.0451,0.7783,59.8434,142.9861,277.0665,170.5276,195.1177,106.8909
3G9267X04PN2A41K5,PASS,0,A1_golden,660871986,A1,0.5761,0.9051,1.2104,0.4385,-0.037,0.7781,59.212,142.7191,277.2449,170.3802,194.5981,106.9737
3G9267X04PN2A41K5,PASS,0,A1_golden,660872044.2,A1,0.576,0.9052,1.2125,0.4385,-0.0253,0.7768,59.6987,143.0538,276.6333,170.5307,195.0064,106.8909
22263KT4NE1G9P095,PASS,0,A1_golden,660872116.7,A1,0.5765,0.9215,1.213,0.4389,-0.0397,0.7798,60.3717,144.091,281.5004,171.4893,197.6291,108.2032
22263KT4NE1G9P095,PASS,0,A1_golden,660872174.6,A1,0.5764,0.9214,1.2124,0.4389,-0.0192,0.7793,60.4381,144.1058,281.0927,171.6708,197.394,108.114
22263KT4NE1G9P095,PASS,0,A1_golden,660872232.7,A1,0.5764,0.9214,1.2086,0.4388,-0.0388,0.7785,60.3598,143.9388,281.1436,170.9569,197.4435,108.0312
N23019542BG6KNG9P,PASS,0,A1_golden,660872305.7,A1,0.5766,0.9226,1.2097,0.4391,-0.0378,0.7783,60.6342,144.7471,277.0155,173.2196,195.2786,106.7826
N23019542BG6KNG9P,PASS,0,A1_golden,660872364.4,A1,0.5765,0.9223,1.2093,0.439,-0.0268,0.7776,60.47,144.5519,277.0155,172.8108,195.7116,106.7698
N23019542BG6KNG9P,PASS,0,A1_golden,660872422.3,A1,0.5765,0.9224,1.2119,0.439,-0.0322,0.7774,60.4136,144.4274,277.3213,172.8803,195.328,106.859
K091E264Q3G9N5B2P,PASS,0,A1_golden,660872495.5,A1,0.5768,0.9219,1.2133,0.4392,-0.033,0.7785,60.637,144.7287,279.1051,172.4681,195.9713,107.5534
K091E264Q3G9N5B2P,PASS,0,A1_golden,660872553.4,A1,0.5767,0.9216,1.2104,0.4392,-0.031,0.7795,59.9655,144.354,278.7993,171.9464,195.7116,107.2731
K091E264Q3G9N5B2P,PASS,0,A1_golden,660872611.6,A1,0.5767,0.9215,1.2128,0.4391,-0.0341,0.7786,59.8134,144.2911,279.1815,171.9952,195.4641,106.91
94N36KG15APX23082,PASS,0,A1_golden,660872684.4,A1,0.5762,0.9059,1.2116,0.4385,-0.0346,0.7791,60.4598,144.4978,282.9019,173.6053,197.1713,108.7893
94N36KG15APX23082,PASS,0,A1_golden,660872742.4,A1,0.5761,0.9058,1.2099,0.4384,-0.0338,0.7796,60.4495,144.4698,283.1822,173.5891,196.961,108.7702
94N36KG15APX23082,PASS,0,A1_golden,660872800.8,A1,0.576,0.9057,1.2103,0.4384,-0.0316,0.7788,60.0118,143.9231,282.9274,173.1601,197.3198,108.7447
0ANK693G1XP724524,PASS,0,A1_golden,660872873.6,A1,0.576,0.9064,1.2097,0.4385,-0.0291,0.7785,59.6608,143.2462,284.8385,170.2839,199.126,109.592
0ANK693G1XP724524,PASS,0,A1_golden,660872933.6,A1,0.5759,0.9062,1.2104,0.4384,-0.0344,0.7797,60.0434,143.2906,284.5582,170.2283,199.2744,109.592
0ANK693G1XP724524,PASS,0,A1_golden,660872991.9,A1,0.5759,0.9063,1.2084,0.4384,-0.0342,0.7796,59.4444,142.9829,284.915,170.6675,198.7301,109.7258
KGX512P43N20906AB,PASS,0,A1_golden,660873065.3,A1,0.5762,0.9044,1.2189,0.4385,-0.0395,0.7779,59.4249,141.1435,284.0995,169.1909,200.0538,109.6302
KGX512P43N20906AB,PASS,0,A1_golden,660873122.5,A1,0.5761,0.9043,1.2178,0.4385,-0.04,0.7777,59.0037,141.1197,283.9466,169.1044,200.0043,109.5984
KGX512P43N20906AB,PASS,0,A1_golden,660873180.4,A1,0.5761,0.9043,1.2182,0.4385,-0.0329,0.7786,59.2942,141.3376,284.3544,168.8009,199.893,109.5792
3511G2902PA9N664K,PASS,0,A1_golden,660873253.5,A1,0.5768,0.9183,1.2096,0.4391,-0.031,0.7778,60.0685,144.6016,277.4742,172.8213,194.6105,106.6361
3511G2902PA9N664K,PASS,0,A1_golden,660873311.4,A1,0.5767,0.9182,1.2087,0.439,-0.03,0.7788,60.2997,144.7999,277.1174,172.2531,194.6847,106.6488
3511G2902PA9N664K,PASS,0,A1_golden,660873369.4,A1,0.5767,0.9181,1.2086,0.439,-0.018,0.7783,60.0397,144.5455,277.78,172.3477,194.4992,106.6998
03542ZN2C2G96K9P1,PASS,0,A1_golden,660873442.5,A1,0.5765,0.924,1.2114,0.4391,-0.0451,0.7776,60.3609,144.3546,282.2903,172.7017,198.1116,108.7065
03542ZN2C2G96K9P1,PASS,0,A1_golden,660873500.4,A1,0.5764,0.9239,1.2095,0.439,-0.0304,0.777,60.1976,144.1836,282.4687,172.5267,198.2847,108.7638
03542ZN2C2G96K9P1,PASS,0,A1_golden,660873558.6,A1,0.5763,0.9239,1.2103,0.439,-0.0374,0.7807,60.7567,144.5769,282.3158,172.3849,198.4951,108.9932
392A506KNG1X65P24,PASS,0,A1_golden,660873631.7,A1,0.5762,0.9056,1.2085,0.4385,-0.0353,0.7784,59.1546,140.8533,284.8385,168.646,198.6683,109.4009
392A506KNG1X65P24,PASS,0,A1_golden,660873690.2,A1,0.5761,0.9057,1.2099,0.4385,-0.0214,0.7784,59.01,140.7757,284.7366,168.3586,198.6435,109.4518
392A506KNG1X65P24,PASS,0,A1_golden,660873749,A1,0.5761,0.9056,1.2076,0.4384,-0.0254,0.7787,58.8535,140.812,284.4563,167.9421,198.3713,109.3372
J1P54925230G946NK,PASS,0,A1_golden,660873824.2,A1,0.5765,0.9337,1.2081,0.4389,-0.0586,0.779,60.434,144.9052,271.9956,172.3349,190.8621,104.6357
J1P54925230G946NK,PASS,0,A1_golden,660873883.1,A1,0.5763,0.9332,1.2079,0.4388,-0.031,0.7797,60.4748,144.8718,271.5624,172.0467,191.0971,104.1325
J1P54925230G946NK,PASS,0,A1_golden,660873941.2,A1,0.5763,0.9332,1.2076,0.4388,-0.0488,0.7789,60.3941,144.8845,271.7662,171.7104,190.8868,104.2726
K6N022X93PGE514AX,PASS,0,A1_golden,660874013.9,A1,0.576,0.9047,1.2175,0.4384,-0.0483,0.7788,59.2586,142.6371,287.1829,170.1297,200.7961,110.3692
K6N022X93PGE514AX,PASS,0,A1_golden,660874071.8,A1,0.5759,0.9046,1.2178,0.4383,-0.0347,0.778,59.5117,142.6253,286.8006,169.4358,200.759,110.7451
K6N022X93PGE514AX,PASS,0,A1_golden,660874129.5,A1,0.5758,0.9049,1.2172,0.4383,-0.0284,0.7773,59.0848,142.6881,287.0045,170.1925,200.3136,110.1908
643D50K99BN22PGR1,PASS,0,A1_golden,660874202.6,A1,0.5768,0.9212,1.2105,0.4392,-0.0346,0.7781,60.7851,145.3585,278.468,174.0034,195.6126,106.9164
643D50K99BN22PGR1,PASS,0,A1_golden,660874261.5,A1,0.5767,0.921,1.2092,0.4391,-0.0325,0.7786,60.7899,145.5675,278.417,174.0183,195.6744,106.7762
643D50K99BN22PGR1,PASS,0,A1_golden,660874319.8,A1,0.5766,0.9212,1.209,0.4391,-0.0339,0.7785,60.8336,145.3463,279.1051,173.5992,195.6373,107.0947
K1TV6G4QNAP502923,PASS,0,A1_golden,660874392.6,A1,0.5764,0.9064,1.2142,0.4386,-0.0326,0.7765,58.3452,138.1961,271.7153,165.5441,191.9631,105.018
K1TV6G4QNAP502923,PASS,0,A1_golden,660874451.1,A1,0.5763,0.9064,1.215,0.4386,-0.0214,0.7802,57.8957,138.0244,271.3075,165.2116,191.7528,105.018
K1TV6G4QNAP502923,PASS,0,A1_golden,660874508.8,A1,0.5763,0.9062,1.215,0.4386,-0.0384,0.7789,58.2727,137.7853,271.6133,165.3194,192.0621,104.8842
3102BP49K5GN692MH,PASS,0,A1_golden,660874581.8,A1,0.5765,0.9208,1.2092,0.4391,-0.0269,0.7807,60.1558,143.8052,274.926,171.874,193.2868,105.5849
3102BP49K5GN692MH,PASS,0,A1_golden,660874639.9,A1,0.5764,0.9209,1.2093,0.439,-0.0299,0.7787,59.9155,143.9376,275.3847,172.2494,193.3734,105.8971
3102BP49K5GN692MH,PASS,0,A1_golden,660874697.9,A1,0.5764,0.9206,1.2085,0.439,-0.03,0.7777,60.2026,143.7741,274.8241,172.0722,193.3239,105.9926
96542KPG1290B3PFN,PASS,0,A1_golden,660874771,A1,0.5781,0.9175,1.2085,0.4407,-0.042,0.7783,59.1188,140.6272,269.2945,168.465,189.7363,103.8458
96542KPG1290B3PFN,PASS,0,A1_golden,660874828.3,A1,0.5779,0.9173,1.2082,0.4407,-0.0277,0.781,58.9464,140.3414,268.8103,167.4794,189.8847,103.763
96542KPG1290B3PFN,PASS,0,A1_golden,660874886.5,A1,0.5779,0.9175,1.2082,0.4406,-0.0297,0.7777,58.9082,140.3222,269.218,167.7287,189.8847,103.763
KK3N6P4GA1V529Y20,PASS,0,A1_golden,660874959.5,A1,0.5764,0.9054,1.2124,0.4386,-0.045,0.7767,59.2925,140.4517,272.7091,168.8108,192.6435,105.311
KK3N6P4GA1V529Y20,PASS,0,A1_golden,660875017.1,A1,0.5763,0.9052,1.2125,0.4385,-0.0334,0.7787,59.0131,140.4209,272.9639,168.5409,192.5817,105.6359
KK3N6P4GA1V529Y20,PASS,0,A1_golden,660875075.3,A1,0.5762,0.9054,1.2127,0.4385,-0.0501,0.7786,59.1795,140.332,273.0658,168.352,192.3837,105.2154
UAN6PVK1G530422P9,PASS,0,A1_golden,660875148.3,A1,0.5762,0.9058,1.2133,0.4385,-0.0296,0.7788,58.8801,140.2513,274.2635,167.3599,193.3734,106.0755
UAN6PVK1G530422P9,PASS,0,A1_golden,660875205.8,A1,0.5761,0.9055,1.2133,0.4384,-0.0311,0.778,58.7799,140.017,274.6457,167.7293,193.5219,106.0564
UAN6PVK1G530422P9,PASS,0,A1_golden,660875264.3,A1,0.5761,0.9057,1.2131,0.4384,-0.0217,0.7763,58.8248,140.2155,274.0341,167.9984,193.46,106.1328
PKNJ62G10B452L939,PASS,0,A1_golden,660875337.5,A1,0.5769,0.921,1.2087,0.4393,-0.0436,0.7788,59.5293,141.0581,266.8482,168.7664,189.328,102.9412
PKNJ62G10B452L939,PASS,0,A1_golden,660875396.5,A1,0.5767,0.9205,1.2093,0.4392,-0.0332,0.7787,58.9829,140.9948,266.8991,168.1347,189.2167,103.1259
PKNJ62G10B452L939,PASS,0,A1_golden,660875454.6,A1,0.5767,0.9205,1.2089,0.4392,-0.0345,0.7785,58.9346,141.0527,266.9756,168.3004,189.2043,103.024
04G21P9K6923NB5LJ,PASS,0,A1_golden,660875527.8,A1,0.5765,0.9193,1.2115,0.4389,-0.028,0.776,59.584,142.1181,277.4487,169.5167,195.3899,106.8527
04G21P9K6923NB5LJ,PASS,0,A1_golden,660875585.9,A1,0.5763,0.919,1.2105,0.4389,-0.0319,0.7789,59.6941,142.5314,277.6781,170.6533,195.1548,106.8017
04G21P9K6923NB5LJ,PASS,0,A1_golden,660875644.3,A1,0.5763,0.919,1.2078,0.4389,-0.0273,0.7784,59.1969,142.396,277.6016,169.8632,194.9693,106.7444
4GJ569P2NK132VZ0A,PASS,0,A1_golden,660875720.1,A1,0.5764,0.9051,1.2182,0.4386,-0.0218,0.7782,58.9775,140.6542,271.1546,168.7977,191.5177,104.967
4GJ569P2NK132VZ0A,PASS,0,A1_golden,660875779,A1,0.5762,0.9049,1.2145,0.4385,-0.0345,0.78,59.0741,140.5248,271.3585,168.7683,191.6786,104.967
4GJ569P2NK132VZ0A,PASS,0,A1_golden,660875837.1,A1,0.5762,0.905,1.2148,0.4384,-0.0281,0.7788,58.9204,140.5495,271.1037,168.9401,191.8518,104.8523
G25N3949K282PB061,PASS,0,A1_golden,660875909.9,A1,0.5762,0.9128,1.2091,0.4388,-0.0417,0.7782,60.6189,145.4539,283.3351,173.2912,198.26,109.1843
G25N3949K282PB061,PASS,0,A1_golden,660875967.9,A1,0.5761,0.9125,1.2076,0.4387,-0.0402,0.7788,60.4268,145.2968,283.6409,172.5363,198.2724,109.0186
G25N3949K282PB061,PASS,0,A1_golden,660876026,A1,0.576,0.9126,1.2088,0.4387,-0.029,0.7787,60.5387,145.4922,283.6663,173.1316,198.2353,108.9677
2PV0N94A1SG63K25R,PASS,0,A1_golden,660876099.5,A1,0.5762,0.9052,1.2141,0.4385,-0.0387,0.7794,59.3059,140.9512,279.1305,170.0649,195.7487,107.426
2PV0N94A1SG63K25R,PASS,0,A1_golden,660876157.8,A1,0.5761,0.9051,1.2143,0.4384,-0.0254,0.7775,59.5074,141.1647,279.0541,169.8668,195.427,107.5534
2PV0N94A1SG63K25R,PASS,0,A1_golden,660876216.3,A1,0.576,0.9052,1.2155,0.4384,-0.0281,0.7782,59.4728,141.4158,278.8757,170.1846,195.5755,107.5534
3416K299GNH250PBM,PASS,0,A1_golden,660876289.5,A1,0.5765,0.9188,1.2109,0.439,-0.0359,0.776,59.0633,141.2847,271.7662,168.4736,192.3219,104.9925
3416K299GNH250PBM,PASS,0,A1_golden,660876348.5,A1,0.5764,0.9183,1.2105,0.439,-0.0232,0.7783,59.1068,141.0668,271.8681,168.0127,192.3961,105.1263
3416K299GNH250PBM,PASS,0,A1_golden,660876405.9,A1,0.5763,0.9185,1.2113,0.4389,-0.0199,0.7774,59.0692,141.3396,272.2249,168.1483,192.4579,104.9925
6NP25G4A09H1203KV,PASS,0,A1_golden,660876478.7,A1,0.5761,0.9062,1.2138,0.4386,-0.0369,0.7795,56.3205,132.5871,257.1905,159.3259,182.1899,99.2272
6NP25G4A09H1203KV,PASS,0,A1_golden,660876536.9,A1,0.576,0.9061,1.2135,0.4385,-0.037,0.7783,55.8578,132.7948,257.0121,159.2591,182.4373,99.0679
6NP25G4A09H1203KV,PASS,0,A1_golden,660876595,A1,0.5759,0.9063,1.2153,0.4385,-0.0382,0.7789,56.4005,132.5477,256.8337,158.7239,182.7713,99.3418
6K1B2K925K4P9N3G0,PASS,0,A1_golden,660876667.8,A1,0.5768,0.9207,1.2112,0.4393,-0.0361,0.7777,59.0963,141.502,270.6195,169.2769,190.4291,104.2216
6K1B2K925K4P9N3G0,PASS,0,A1_golden,660876725.5,A1,0.5767,0.9204,1.211,0.4392,-0.0409,0.7756,59.1937,142.1401,270.7215,168.88,190.4909,103.9031
6K1B2K925K4P9N3G0,PASS,0,A1_golden,660876784.3,A1,0.5767,0.9203,1.2116,0.4392,-0.0256,0.7782,59.2157,141.7009,270.8743,169.1583,190.4043,104.107
5RGPA39604KN21VS2,PASS,0,A1_golden,660876857.2,A1,0.5763,0.9056,1.2159,0.4385,-0.0202,0.7762,58.5568,139.3301,277.1939,167.113,195.328,107.031
5RGPA39604KN21VS2,PASS,0,A1_golden,660876915.7,A1,0.5762,0.9054,1.2184,0.4385,-0.0364,0.7784,58.4259,139.3528,277.2449,166.6202,194.9445,106.8017
5RGPA39604KN21VS2,PASS,0,A1_golden,660876973.8,A1,0.5762,0.9054,1.2142,0.4384,-0.0371,0.7781,58.6295,139.2754,277.4997,167.1093,195.1301,106.9164
39NPNG56092GB12K4,PASS,0,A1_golden,660877047.2,A1,0.5764,0.9185,1.2124,0.439,-0.0359,0.7786,59.2056,141.6582,273.3971,168.4295,192.594,105.1581
39NPNG56092GB12K4,PASS,0,A1_golden,660877104.8,A1,0.5762,0.9182,1.2097,0.439,-0.0416,0.7775,58.9894,141.8153,273.2187,168.9297,192.4579,105.0371
39NPNG56092GB12K4,PASS,0,A1_golden,660877163.3,A1,0.5762,0.9181,1.2093,0.4389,-0.0339,0.7785,59.1335,141.567,273.1168,168.2286,192.6559,105.1071
2A1G4N9K53VP126G0,PASS,0,A1_golden,660877235.9,A1,0.5762,0.9052,1.2122,0.4387,-0.0255,0.7777,58.4012,139.5429,270.7469,166.6339,191.0724,104.5911
2A1G4N9K53VP126G0,PASS,0,A1_golden,660877293.7,A1,0.5761,0.9051,1.2122,0.4386,-0.0316,0.778,58.7117,139.4078,270.9508,166.7086,191.1342,104.3172
2A1G4N9K53VP126G0,PASS,0,A1_golden,660877351.5,A1,0.576,0.905,1.2125,0.4386,-0.0373,0.7767,58.4333,138.986,271.0782,166.72,191.2085,104.6676
GPKU5A29N416V3R20,PASS,0,A1_golden,660877424.3,A1,0.5768,0.9063,1.2123,0.4395,-0.0266,0.7788,59.8311,144.1548,277.9329,171.071,194.227,106.6998
GPKU5A29N416V3R20,PASS,0,A1_golden,660877482.8,A1,0.5766,0.9063,1.2106,0.4395,-0.0282,0.7774,60.1143,143.9904,278.3916,171.767,194.5363,106.91
GPKU5A29N416V3R20,PASS,0,A1_golden,660877541,A1,0.5766,0.9063,1.2094,0.4394,-0.0442,0.7773,60.0529,143.7893,277.8055,170.9799,194.5734,106.9864
0G4K612P3NK29PAY5,PASS,0,A1_golden,660877615.2,A1,0.5775,0.9108,1.2067,0.4397,-0.0246,0.779,59.925,143.0663,270.6195,170.3844,190.6765,104.9543
0G4K612P3NK29PAY5,PASS,0,A1_golden,660877672.9,A1,0.5773,0.9107,1.2067,0.4396,-0.0398,0.7798,59.9096,143.2607,270.4157,170.5043,190.6394,104.9097
0G4K612P3NK29PAY5,PASS,0,A1_golden,660877730.8,A1,0.5773,0.9106,1.2075,0.4396,-0.0219,0.7791,59.6922,143.0958,270.5176,170.5511,190.6023,104.795
6U391KUPNGA5S0422,PASS,0,A1_golden,660877803.9,A1,0.5771,0.9075,1.2115,0.4396,-0.0351,0.778,60.0805,144.0159,279.8695,171.6299,196.5033,107.9293
6U391KUPNGA5S0422,PASS,0,A1_golden,660877861.8,A1,0.577,0.9073,1.2102,0.4395,-0.035,0.7776,59.4504,144.0678,279.895,171.4407,196.5033,107.9675
6U391KUPNGA5S0422,PASS,0,A1_golden,660877919.5,A1,0.5769,0.9073,1.2106,0.4395,-0.0474,0.779,59.6968,143.9229,280.0224,172.0622,196.194,107.8974
224F2GNPK156A03V9,PASS,0,A1_golden,660877993.2,A1,0.5761,0.9058,1.2131,0.4387,-0.0357,0.7788,59.0776,140.9487,273.0148,168.755,192.4951,105.4957
224F2GNPK156A03V9,PASS,0,A1_golden,660878051,A1,0.5759,0.9056,1.2116,0.4386,-0.0303,0.7776,58.5494,140.39,273.2697,168.6433,192.161,105.4002
224F2GNPK156A03V9,PASS,0,A1_golden,660878108.7,A1,0.5759,0.9057,1.2115,0.4386,-0.0238,0.7781,59.1979,140.5628,272.9639,168.1868,192.5198,105.5276
2NGQ04APW5U3K6192,PASS,0,A1_golden,660878181.5,A1,0.5768,0.9065,1.2094,0.4395,-0.0386,0.7785,60.5765,144.1914,277.1939,173.248,194.2146,106.8208
2NGQ04APW5U3K6192,PASS,0,A1_golden,660878239.3,A1,0.5766,0.9064,1.2094,0.4394,-0.0359,0.7793,60.6316,144.4719,277.1939,172.8699,194.5487,107.0756
2NGQ04APW5U3K6192,PASS,0,A1_golden,660878297.2,A1,0.5766,0.9065,1.2104,0.4394,-0.0408,0.7798,60.3833,144.6589,277.3978,173.0628,194.8703,107.0884
NG020P431VHA9K652,PASS,0,A1_golden,660878370.3,A1,0.5788,0.906,1.2104,0.4411,-0.0387,0.779,60.2578,142.7866,276.5568,171.4199,194.561,107.0756
NG020P431VHA9K652,PASS,0,A1_golden,660878428.9,A1,0.5786,0.9059,1.2093,0.441,-0.024,0.7781,60.0588,143.1104,276.6333,171.7457,194.7342,107.0056
NG020P431VHA9K652,PASS,0,A1_golden,660878487.5,A1,0.5786,0.906,1.2108,0.441,-0.0319,0.7756,59.5703,142.909,276.7607,171.656,194.3384,106.9673
22AS5490KGF316NBP,PASS,0,A1_golden,660878561.3,A1,0.5758,0.9059,1.2089,0.4382,-0.0395,0.7776,59.9783,143.5759,277.4742,170.7725,194.1033,106.4386
22AS5490KGF316NBP,PASS,0,A1_golden,660878619.7,A1,0.5757,0.9058,1.2073,0.4382,-0.0525,0.7777,59.6015,143.4234,277.0155,170.0475,194.4744,106.7316
